epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.603222,2.66175,4.72498,0.01382,0,0,0,0,2.30215,4.82993,0.01246,0,0,0
2,1.50482,2.84519,4.73714,0.01517,0,0,0,0,2.29179,4.82751,0.0125,6.99863e-06,6.99863e-06,6.99863e-06
3,2.23332,2.53989,4.7083,0.01489,0,0,0,0,2.3268,4.82981,0.01264,1.37145e-05,1.37145e-05,1.37145e-05
4,2.99027,2.62959,4.75799,0.01562,0,0,0,0,2.32559,4.82947,0.01262,2.01477e-05,2.01477e-05,2.01477e-05
5,3.76879,2.94891,4.74267,0.01467,0,0,0,0,2.3084,4.82996,0.01232,2.6298e-05,2.6298e-05,2.6298e-05
6,4.54853,2.62907,4.74594,0.01695,0,0,0,0,2.30002,4.83053,0.01217,3.21657e-05,3.21657e-05,3.21657e-05
7,5.27266,2.77495,4.70705,0.01394,0,0,0,0,2.29877,4.83087,0.01203,3.77506e-05,3.77506e-05,3.77506e-05
8,6.11185,2.64201,4.72113,0.01379,0,0,0,0,2.2629,4.83114,0.01184,4.30528e-05,4.30528e-05,4.30528e-05
9,6.82476,2.61468,4.70956,0.01442,0,0,0,0,2.22428,4.82965,0.0116,4.80722e-05,4.80722e-05,4.80722e-05
10,7.55243,2.46905,4.72204,0.01335,0,0,0,0,2.18988,4.82976,0.01142,5.28089e-05,5.28089e-05,5.28089e-05
11,8.37936,2.60699,4.70406,0.01384,0,0,0,0,2.17792,4.82741,0.01124,5.72628e-05,5.72628e-05,5.72628e-05
12,9.11752,2.44618,4.6796,0.01325,0,0,0,0,2.17701,4.82649,0.01122,6.1434e-05,6.1434e-05,6.1434e-05
13,9.8545,2.69041,4.75941,0.01282,0,0,0,0,2.16623,4.79588,0.0114,6.53224e-05,6.53224e-05,6.53224e-05
14,10.6636,2.60532,4.74564,0.01232,0,0,0,0,2.16405,4.76047,0.01144,6.89281e-05,6.89281e-05,6.89281e-05
15,11.4424,2.3864,4.7054,0.01441,0,0,0,0,2.13195,4.75632,0.01117,7.22511e-05,7.22511e-05,7.22511e-05
16,12.1739,2.37756,4.71752,0.01185,0,0,0,0,2.09722,4.7177,0.01098,7.52913e-05,7.52913e-05,7.52913e-05
17,12.9022,2.35252,4.7013,0.0124,0,0,0,0,2.09006,4.67762,0.01093,7.80488e-05,7.80488e-05,7.80488e-05
18,13.5971,2.1152,4.60606,0.0132,0,0,0,0,2.09006,4.67762,0.01093,8.05235e-05,8.05235e-05,8.05235e-05
19,14.3504,2.32642,4.65119,0.01258,0,0,0,0,2.02946,4.70912,0.01051,8.27155e-05,8.27155e-05,8.27155e-05
20,15.025,2.29304,4.66496,0.01261,0,0,0,0,2.02946,4.70912,0.01051,8.46247e-05,8.46247e-05,8.46247e-05
21,15.7606,2.28798,4.70037,0.01261,0,0,0,0,2.02019,4.66073,0.01034,8.62512e-05,8.62512e-05,8.62512e-05
22,16.4442,2.18548,4.67098,0.0118,0,0,0,0,2.02019,4.66073,0.01034,8.75949e-05,8.75949e-05,8.75949e-05
23,17.5207,2.33815,4.73484,0.01316,0,0,0,0,2.03094,4.66262,0.0104,8.8656e-05,8.8656e-05,8.8656e-05
24,18.2114,2.34186,4.67753,0.01291,0,0,0,0,2.03094,4.66262,0.0104,8.94342e-05,8.94342e-05,8.94342e-05
25,18.9476,2.19326,4.64756,0.01369,0,0,0,0,2.02941,4.62321,0.01064,8.99297e-05,8.99297e-05,8.99297e-05
